"","x"
"917",145000
"918",137000
"919",234000
"920",205000
"921",177500
"922",160000
"923",155000
"924",163500
"925",154900
"926",205000
"927",144800
"928",174500
"929",193000
"930",158000
"931",158500
"932",224000
"933",115000
"934",137000
"935",121000
"936",124000
"937",208000
"938",315000
"939",222000
"940",147000
"941",123000
"942",78000
"943",85000
"944",75000
"945",230000
"946",57625
"947",251000
"948",239686
"949",240000
"950",215000
"951",156450
"952",173000
"953",126000
"954",173000
"955",152000
"956",137500
"957",375000
"958",315500
"959",224500
"960",410000
"961",316500
"962",201000
"963",175000
"964",204000
"965",213500
"966",220000
"967",170000
"968",315000
"969",425000
"970",139500
"971",115000
"972",162000
"973",165000
"974",91000
"975",130000
"976",86000
"977",160000
"978",80000
"979",97000
"980",88000
"981",131900
"982",131250
"983",165500
"984",112000
"985",149000
"986",143000
"987",130000
"988",196000
"989",173000
"990",176500
"991",237500
"992",206900
"993",187500
"994",165000
"995",195500
"996",192000
"997",173000
"998",177900
"999",175000
"1000",286000
"1001",247900
"1002",180000
"1003",180000
"1004",181000
"1005",183000
"1006",188000
"1007",194500
"1008",185000
"1009",189000
"1010",188500
"1011",355000
"1012",325000
"1013",387000
"1014",115000
"1015",334000
"1016",133000
"1017",215000
"1018",226500
"1019",175500
"1020",181900
"1021",235000
"1022",220000
"1023",272000
"1024",161000
"1025",175000
"1026",185000
"1027",146900
"1028",292500
"1029",180000
"1030",159900
"1031",205000
"1032",157000
"1033",306000
"1034",133000
"1035",151000
"1036",111900
"1037",123000
"1038",111250
"1039",181000
"1040",103400
"1041",100000
"1042",100500
"1043",106000
"1044",85400
"1045",89500
"1046",111750
"1047",140000
"1048",143000
"1049",148500
"1050",110000
"1051",394617
"1052",426000
"1053",385000
"1054",446261
"1055",317500
"1056",372402
"1057",417500
"1058",383000
"1059",390000
"1060",460000
"1061",379000
"1062",250000
"1063",316000
"1064",615000
"1065",412500
"1066",284000
"1067",284000
"1068",421250
"1069",370000
"1070",336860
"1071",367294
"1072",192000
"1073",274000
"1074",266000
"1075",370967
"1076",234250
"1077",219500
"1078",155000
"1079",154000
"1080",207000
"1081",195000
"1082",219990
"1083",191000
"1084",159895
"1085",187687
"1086",179000
"1087",193000
"1088",190000
"1089",176000
"1090",188000
"1091",213000
"1092",217300
"1093",186500
"1094",226750
"1095",184000
"1096",176000
"1097",225000
"1098",185900
"1099",284500
"1100",315000
"1101",250000
"1102",291000
"1103",350000
"1104",279500
"1105",290000
"1106",350000
"1107",341000
"1108",287500
"1109",271000
"1110",301500
"1111",235128
"1112",214000
"1113",232000
"1114",240000
"1115",264132
"1116",245000
"1117",227680
"1118",257000
"1119",297900
"1120",247000
"1121",212700
"1122",250580
"1123",182000
"1124",226700
"1125",250000
"1126",250000
"1127",339750
"1128",205950
"1129",256000
"1130",230348
"1131",207500
"1132",141000
"1133",188000
"1134",192500
"1135",146000
"1136",159000
"1137",155000
"1138",173000
"1139",170000
"1140",182000
"1141",163000
"1142",193500
"1143",189000
"1144",190500
"1145",175000
"1146",179200
"1147",187000
"1148",193000
"1149",153900
"1150",128000
"1151",144000
"1152",135000
"1153",115000
"1154",119916
"1155",142000
"1156",192000
"1157",140000
"1158",290000
"1159",372500
"1160",196000
"1161",171900
"1162",178000
"1163",165000
"1164",146000
"1165",146000
"1166",179400
"1167",172900
"1168",300000
"1169",285000
"1170",290000
"1171",305000
"1172",328900
"1173",160000
"1174",170000
"1175",223000
"1176",170000
"1177",200000
"1178",345000
"1179",245500
"1180",217500
"1181",324000
"1182",162500
"1183",150000
"1184",290000
"1185",205000
"1186",174000
"1187",183000
"1188",150000
"1189",145000
"1190",215000
"1191",140500
"1192",240000
"1193",141000
"1194",147000
"1195",135000
"1196",145000
"1197",142600
"1198",135000
"1199",170000
"1200",299800
"1201",185000
"1202",173000
"1203",178400
"1204",176000
"1205",98000
"1206",109008
"1207",135750
"1208",155000
"1209",180500
"1210",174900
"1211",140000
"1212",145000
"1213",179900
"1214",168500
"1215",140000
"1216",145500
"1217",142000
"1218",141000
"1219",153000
"1220",72500
"1221",52000
"1222",118000
"1223",87000
"1224",141500
"1225",119000
"1226",141500
"1227",165500
"1228",112900
"1229",201800
"1230",163000
"1231",139950
"1232",174000
"1233",165000
"1234",227000
"1235",135000
"1236",124000
"1237",140000
"1238",136500
"1239",185000
"1240",163000
"1241",166800
"1242",139000
"1243",166000
"1244",136000
"1245",133000
"1246",116000
"1247",137500
"1248",130000
"1249",180000
"1250",139000
"1251",110000
"1252",100000
"1253",118500
"1254",146000
"1255",89900
"1256",114000
"1257",140000
"1258",86900
"1259",139000
"1260",106250
"1261",171000
"1262",139000
"1263",186000
"1264",157000
"1265",148000
"1266",242000
"1267",116000
"1268",94000
"1269",98300
"1270",127000
"1271",159000
"1272",125900
"1273",155000
"1274",138000
"1275",112500
"1276",105500
"1277",127500
"1278",130000
"1279",150000
"1280",109500
"1281",140000
"1282",167900
"1283",136870
"1284",143000
"1285",73000
"1286",157500
"1287",122600
"1288",111000
"1289",256000
"1290",64000
"1291",139500
"1292",118000
"1293",200000
"1294",119164
"1295",122250
"1296",120000
"1297",155000
"1298",78000
"1299",95000
"1300",115000
"1301",147000
"1302",140000
"1303",46500
"1304",112500
"1305",107900
"1306",65000
"1307",295000
"1308",139500
"1309",153900
"1310",132000
"1311",98000
"1312",114000
"1313",130000
"1314",129500
"1315",129400
"1316",161000
"1317",163000
"1318",128000
"1319",122000
"1320",116900
"1321",325000
"1322",55000
"1323",184000
"1324",110000
"1325",131500
"1326",97000
"1327",115500
"1328",138000
"1329",108000
"1330",79500
"1331",153000
"1332",109500
"1333",124000
"1334",106900
"1335",164900
"1336",119000
"1337",120000
"1338",157000
"1339",105000
"1340",113000
"1341",115000
"1342",79000
"1343",123000
"1344",81300
"1345",162900
"1346",150000
"1347",123500
"1348",129900
"1349",128000
"1350",68500
"1351",127000
"1352",207000
"1353",184000
"1354",162500
"1355",145000
"1356",130000
"1357",160000
"1358",161000
"1359",127500
"1360",93850
"1361",136000
"1362",141000
"1363",120000
"1364",127500
"1365",127000
"1366",89500
"1367",125000
"1368",79900
"1369",85000
"1370",82375
"1371",135000
"1372",124000
"1373",134000
"1374",135000
"1375",134432
"1376",127500
"1377",148000
"1378",129500
"1379",157500
"1380",109900
"1381",145000
"1382",130000
"1383",153000
"1384",120000
"1385",152000
"1386",108959
"1387",95541
"1388",80000
"1389",149350
"1390",144900
"1391",185000
"1392",165000
"1393",235000
"1394",140000
"1395",108000
"1396",145000
"1397",152400
"1398",144000
"1399",173000
"1400",192000
"1401",245000
"1402",241500
"1403",256000
"1404",177000
"1405",125600
"1406",155000
"1407",240000
"1408",260000
"1409",185000
"1410",235000
"1411",159900
"1412",99600
"1413",134500
"1414",119000
"1415",107500
"1416",125000
"1417",79000
"1418",95000
"1419",262280
"1420",260000
"1421",226500
"1422",225000
"1423",229000
"1424",177439
"1425",248500
"1426",475000
"1427",395039
"1428",228000
"1429",225000
"1430",195000
"1431",200000
"1432",155000
"1433",144000
"1434",145000
"1435",226001
"1436",215700
"1437",207500
"1438",193000
"1439",188000
"1440",191000
"1441",221000
"1442",231500
"1443",235000
"1444",223500
"1445",130250
"1446",149900
"1447",158000
"1448",147000
"1449",143195
"1450",163000
"1451",110000
"1452",127000
"1453",124900
"1454",230000
"1455",237000
"1456",235000
"1457",230500
"1458",230000
"1459",222500
"1460",287000
"1461",274000
"1462",300000
"1463",255900
"1464",224900
"1465",240000
"1466",183000
"1467",207000
"1468",210000
"1469",136500
"1470",145000
"1471",208900
"1472",185000
"1473",214000
"1474",208500
"1475",186500
"1476",210000
"1477",185900
"1478",179900
"1479",218836
"1480",193000
"1481",189000
"1482",149300
"1483",141000
"1484",149000
"1485",144500
"1486",85000
"1487",145900
"1488",123000
"1489",147500
"1490",165000
"1491",135000
"1492",108000
"1493",137500
"1494",165400
"1495",147000
"1496",160500
"1497",176000
"1498",284700
"1499",160000
"1500",148000
"1501",82000
"1502",82000
"1503",118000
"1504",82500
"1505",91900
"1506",120000
"1507",96000
"1508",99000
"1509",130500
"1510",135000
"1511",135500
"1512",100000
"1513",108000
"1514",98000
"1515",67000
"1516",135900
"1517",140000
"1518",179500
"1519",136500
"1520",168000
"1521",130000
"1522",189000
"1523",161900
"1524",145000
"1525",191000
"1526",177000
"1527",147500
"1528",91000
"1529",231000
"1530",115000
"1531",138000
"1532",149000
"1533",188700
"1534",198000
"1535",110000
"1536",104000
"1537",257076
"1538",381000
"1539",311500
"1540",263400
"1541",236500
"1542",224000
"1543",116500
"1544",151000
"1545",126000
"1546",120000
"1547",55000
"1548",120500
"1549",120500
"1550",119000
"1551",126000
"1552",99500
"1553",165500
"1554",13100
"1555",89000
"1556",40000
"1557",80900
"1558",81000
"1559",65000
"1560",392500
"1561",294464
"1562",250000
"1563",275000
"1564",300000
"1565",271000
"1566",213000
"1567",171000
"1568",171500
"1569",100000
"1570",228500
"1571",228950
"1572",241500
"1573",287000
"1574",294000
"1575",293077
"1576",264966
"1577",172500
"1578",167500
"1579",218689
"1580",150000
"1581",184000
"1582",180000
"1583",175000
"1584",232500
"1585",195000
"1586",305000
"1587",298751
"1588",370000
"1589",209200
"1590",206300
"1591",146000
"1592",160500
"1593",173000
"1594",124000
"1595",115000
"1596",129500
"1597",105000
"1598",94900
"1599",152500
"1600",98000
"1601",81000
"1602",113000
"1603",128500
"1604",119500
"1605",130500
"1606",138000
"1607",134500
"1608",160000
"1609",137500
"1610",172000
"1611",103000
"1612",167300
"1613",167000
"1614",244000
"1615",268000
"1616",225000
"1617",168000
"1618",177000
"1619",169000
"1620",161500
"1621",251000
"1622",160000
"1623",180000
"1624",178750
"1625",176000
"1626",204000
"1627",160000
"1628",160000
"1629",163900
"1630",168000
"1631",154204
"1632",170000
"1633",207500
"1634",182000
"1635",212000
"1636",377426
"1637",349265
"1638",591587
"1639",155000
"1640",319900
"1641",392000
"1642",441929
"1643",455000
"1644",182900
"1645",174000
"1646",178000
"1647",176000
"1648",213000
"1649",192000
"1650",190000
"1651",195000
"1652",148000
"1653",151500
"1654",197000
"1655",192350
"1656",152000
"1657",170000
"1658",175000
"1659",175000
"1660",197900
"1661",174000
"1662",178900
"1663",139000
"1664",143250
"1665",184000
"1666",155000
"1667",133000
"1668",119500
"1669",123000
"1670",110000
"1671",128000
"1672",120500
"1673",133000
"1674",155000
"1675",177000
"1676",113500
"1677",113000
"1678",113700
"1679",106000
"1680",122500
"1681",128000
"1682",155000
"1683",142500
"1684",129250
"1685",356000
"1686",314813
"1687",318000
"1688",322400
"1689",318000
"1690",345474
"1691",415298
"1692",492000
"1693",338931
"1694",450000
"1695",280000
"1696",479069
"1697",395000
"1698",380000
"1699",250000
"1700",440000
"1701",418000
"1702",500067
"1703",260116
"1704",317000
"1705",319500
"1706",325624
"1707",372000
"1708",342000
"1709",354000
"1710",350000
"1711",285000
"1712",281500
"1713",245700
"1714",232698
"1715",250000
"1716",194700
"1717",204000
"1718",200000
"1719",207000
"1720",209500
"1721",209500
"1722",202500
"1723",280000
"1724",277500
"1725",318061
"1726",221370
"1727",200000
"1728",181755
"1729",176000
"1730",178900
"1731",168165
"1732",171925
"1733",198444
"1734",203000
"1735",179540
"1736",176485
"1737",181134
"1738",156932
"1739",166000
"1740",177594
"1741",173500
"1742",172500
"1743",194201
"1744",226500
"1745",185485
"1746",259000
"1747",188500
"1748",175000
"1749",215000
"1750",206580
"1751",183500
"1752",165500
"1753",211000
"1754",181000
"1755",219500
"1756",175000
"1757",170000
"1758",162000
"1759",187000
"1760",185000
"1761",745000
"1762",384500
"1763",248000
"1764",466500
"1765",410000
"1766",322500
"1767",252000
"1768",755000
"1769",269790
"1770",315750
"1771",290000
"1772",290000
"1773",430000
"1774",263000
"1775",330000
"1776",213133
"1777",260261
"1778",320000
"1779",282922
"1780",215000
"1781",419005
"1782",255000
"1783",147000
"1784",235876
"1785",311872
"1786",248328
"1787",227000
"1788",260000
"1789",225000
"1790",249000
"1791",307000
"1792",250000
"1793",221300
"1794",208900
"1795",210400
"1796",255000
"1797",212109
"1798",270000
"1799",303477
"1800",310013
"1801",249700
"1802",227875
"1803",261329
"1804",253000
"1805",265000
"1806",340000
"1807",146000
"1808",147000
"1809",149000
"1810",181000
"1811",201000
"1812",191750
"1813",179000
"1814",215000
"1815",179200
"1816",128000
"1817",144000
"1818",144000
"1819",120750
"1820",132500
"1821",132000
"1822",132500
"1823",129000
"1824",143900
"1825",145000
"1826",128500
"1827",125500
"1828",300000
"1829",294000
"1830",129000
"1831",171000
"1832",147000
"1833",302000
"1834",285000
"1835",214000
"1836",166000
"1837",193800
"1838",208900
"1839",194000
"1840",207500
"1841",199900
"1842",164700
"1843",176500
"1844",176000
"1845",168500
"1846",177000
"1847",177000
"1848",148800
"1849",174000
"1850",239000
"1851",204000
"1852",301000
"1853",312500
"1854",279700
"1855",255000
"1856",194000
"1857",218000
"1858",213750
"1859",187000
"1860",181500
"1861",373000
"1862",190000
"1863",226000
"1864",143450
"1865",240050
"1866",162500
"1867",164000
"1868",185000
"1869",188500
"1870",255000
"1871",136905
"1872",158500
"1873",175500
"1874",127000
"1875",127000
"1876",143000
"1877",156000
"1878",144000
"1879",119000
"1880",103000
"1881",139900
"1882",151500
"1883",126500
"1884",145000
"1885",120000
"1886",124000
"1887",106500
"1888",140500
"1889",137500
"1890",117600
"1891",163500
"1892",161000
"1893",158000
"1894",224500
"1895",147000
"1896",200000
"1897",181900
"1898",150750
"1899",101800
"1900",124000
"1901",138500
"1902",39300
"1903",64500
"1904",64000
"1905",112000
"1906",165000
"1907",144000
"1908",137000
"1909",105000
"1910",146500
"1911",126000
"1912",175000
"1913",158500
"1914",114500
"1915",144000
"1916",129000
"1917",141000
"1918",131000
"1919",142100
"1920",139000
"1921",157900
"1922",139400
"1923",150000
"1924",120000
"1925",174850
"1926",116000
"1927",135000
"1928",163500
"1929",130000
"1930",129500
"1931",142000
"1932",128600
"1933",125000
"1934",136000
"1935",134500
"1936",127000
"1937",130000
"1938",115000
"1939",116900
"1940",132000
"1941",153000
"1942",112500
"1943",138000
"1944",135000
"1945",156000
"1946",301600
"1947",109000
"1948",103200
"1949",128500
"1950",64500
"1951",148000
"1952",86000
"1953",172000
"1954",120000
"1955",128500
"1956",135000
"1957",122900
"1958",119200
"1959",143000
"1960",119000
"1961",102000
"1962",129000
"1963",135000
"1964",152000
"1965",140000
"1966",152000
"1967",156500
"1968",141000
"1969",99000
"1970",187000
"1971",169500
"1972",125500
"1973",130000
"1974",103000
"1975",132000
"1976",127500
"1977",89500
"1978",140000
"1979",99900
"1980",100000
"1981",130000
"1982",135000
"1983",120000
"1984",89471
"1985",85000
"1986",108500
"1987",137000
"1988",110500
"1989",100000
"1990",184900
"1991",145000
"1992",125000
"1993",114000
"1994",90000
"1995",144100
"1996",117500
"1997",124500
"1998",185000
"1999",133900
"2000",152000
"2001",153500
"2002",159500
"2003",87000
"2004",104500
"2005",110000
"2006",136500
"2007",128250
"2008",144000
"2009",210000
"2010",135000
"2011",128000
"2012",131000
"2013",113000
"2014",126000
"2015",132000
"2016",131750
"2017",132500
"2018",137500
"2019",132000
"2020",127500
"2021",102000
"2022",200000
"2023",180500
"2024",165000
"2025",90000
"2026",153575
"2027",140000
"2028",136000
"2029",113000
"2030",117000
"2031",169500
"2032",139400
"2033",202500
"2034",127000
"2035",141000
"2036",212300
"2037",161000
"2038",99500
"2039",101000
"2040",109900
"2041",128500
"2042",122000
"2043",87000
"2044",50000
"2045",219000
"2046",200500
"2047",126000
"2048",108500
"2049",130000
"2050",158450
"2051",115400
"2052",118500
"2053",165000
"2054",123000
"2055",129000
"2056",125000
"2057",108000
"2058",119900
"2059",115000
"2060",134500
"2061",127000
"2062",129000
"2063",143500
"2064",129000
"2065",187000
"2066",158000
"2067",112000
"2068",165250
"2069",150000
"2070",137000
"2071",89500
"2072",302000
"2073",182000
"2074",211000
"2075",216000
"2076",130000
"2077",109900
"2078",255000
"2079",243000
"2080",154000
"2081",118000
"2082",80000
"2083",150000
"2084",86000
"2085",130000
"2086",125000
"2087",136500
"2088",96000
"2089",120000
"2090",228500
"2091",179900
"2092",225000
"2093",301000
"2094",238000
"2095",228500
"2096",220000
"2097",383970
"2098",424870
"2099",250000
"2100",360000
"2101",279500
"2102",200141
"2103",246500
"2104",276000
"2105",203000
"2106",155835
"2107",194000
"2108",195400
"2109",217000
"2110",212999
"2111",175900
"2112",191000
"2113",176432
"2114",277000
"2115",207000
"2116",277000
"2117",240000
"2118",187500
"2119",279000
"2120",139500
"2121",126000
"2122",177500
"2123",175000
"2124",211000
"2125",146000
"2126",147900
"2127",123600
"2128",204750
"2129",235500
"2130",217000
"2131",190550
"2132",217500
"2133",226000
"2134",180000
"2135",131000
"2136",153500
"2137",160000
"2138",134900
"2139",130000
"2140",120000
"2141",112500
